"","X1","YEAR","Topic","Subtopic","ShortQuestionText","Greater_Risk_Question","Description","Greater_Risk_Data_Value","Greater_Risk_Low_Confidence_Limit","Greater_Risk_High_Confidence_Limit","Lesser_Risk_Question","Lesser_Risk_Data_Value","Lesser_Risk_Low_Confidence_Limit","Lesser_Risk_High_Confidence_Limit","Sample_Size","Sex","Race","Grade","Latitude","Longitude","LocationId","State"
"13",5163,2011,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",18.7,13.76,24.8,"Did not currently use marijuana",81.3,75.2,86.24,487,"Total","White","9th","35.68094058000048"," -85.77449091399967","47","Tennessee"
"14",5335,1993,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",15.1,10.2,21.8,"Did not currently use marijuana",84.9,78.2,89.8,574,"Total","Total","11th","35.466220975000454"," -79.15925046299964","37","North Carolina"
"15",6981,2015,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",10.6,7.95,14.08,"Did not currently use marijuana",89.4,85.92,92.05,489,"Male","Asian","Total","42.82700103200045"," -75.54397042699964","36","New York"
"16",7728,2003,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",27.7,22.56,33.58,"Did not currently use marijuana",72.3,66.42,77.44,303,"Total","Total","10th","64.84507995700051"," -147.72205903599973","02","Alaska"
"17",8221,2015,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",23.8,18.14,30.58,"Did not currently use marijuana",76.2,69.42,81.86,257,"Male","Total","12th","47.47531977900047"," -100.11842104899966","38","North Dakota"
"18",8432,2009,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",9.3,5.22,15.88,"Did not currently use marijuana",90.7,84.12,94.78,175,"Male","White","9th","43.682630005000476"," -114.3637300419997","16","Idaho"
"19",8519,2007,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",20.5,17.53,23.89,"Did not currently use marijuana",79.5,76.11,82.47,695,"Total","Total","10th","39.008830667000495"," -75.57774116799965","10","Delaware"
"20",9073,2001,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",13,9.26,17.9,"Did not currently use marijuana",87,82.1,90.74,590,"Female","White","Total","44.353130053000484"," -100.3735306369997","46","South Dakota"
"21",9857,2003,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",16.3,13.08,20.12,"Did not currently use marijuana",83.7,79.88,86.92,379,"Total","White","9th","37.645970271000465"," -84.77497104799966","21","Kentucky"
"22",11038,2003,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",26.2,22.72,29.96,"Did not currently use marijuana",73.8,70.04,77.28,2702,"Female","White","Total","43.62538123900049"," -72.51764079099962","50","Vermont"
"23",11216,2011,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",19.6,14.23,26.4,"Did not currently use marijuana",80.4,73.6,85.77,194,"Female","Hispanic or Latino","Total","38.34774030000045"," -98.20078122699965","20","Kansas"
"24",11258,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",25.3,20.98,30.26,"Did not currently use marijuana",74.7,69.74,79.02,1212,"Total","Total","12th","37.54268067400045"," -78.45789046299967","51","Virginia"
"25",11339,2003,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",17,9.42,28.87,"Did not currently use marijuana",83,71.13,90.58,280,"Female","Hispanic or Latino","12th","42.82700103200045"," -75.54397042699964","36","New York"
"26",11685,1995,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",8.9,6.38,12.4,"Did not currently use marijuana",91.1,87.6,93.62,322,"Male","White","9th","39.360700171000474"," -111.58713063499971","49","Utah"
"27",12480,2011,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",26.7,21.5,32.69,"Did not currently use marijuana",73.3,67.31,78.5,300,"Male","Total","11th","35.68094058000048"," -85.77449091399967","47","Tennessee"
"28",12910,2011,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",21,16.71,26,"Did not currently use marijuana",79,74,83.29,573,"Female","Total","10th","21.304850435000446"," -157.85774940299973","15","Hawaii"
"29",13259,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",11.1,6.32,18.75,"Did not currently use marijuana",88.9,81.25,93.68,139,"Female","Black or African American","10th","28.932040377000476"," -81.92896053899966","12","Florida"
"30",13271,2011,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",23.8,19.53,28.61,"Did not currently use marijuana",76.2,71.39,80.47,446,"Total","Total","12th","39.766910452000445"," -86.14996019399968","18","Indiana"
"31",14931,1997,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",22.9,15.97,31.69,"Did not currently use marijuana",77.1,68.31,84.03,109,"Female","White","12th","44.39319117400049"," -89.81637074199966","55","Wisconsin"
"32",15019,2007,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",28.6,20.51,38.27,"Did not currently use marijuana",71.4,61.73,79.49,247,"Total","White","12th","31.827240407000488"," -99.42677020599967","48","Texas"
"33",15331,1995,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",24,20.08,28.51,"Did not currently use marijuana",76,71.49,79.92,661,"Total","Hispanic or Latino","Total","40.48501028300046"," -88.99771017799969","17","Illinois"
"34",15526,2009,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",28.4,22.02,35.75,"Did not currently use marijuana",71.6,64.25,77.98,286,"Total","Total","12th","38.66551020200046"," -80.71264013499967","54","West Virginia"
"35",16399,2009,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",28.8,20.65,38.62,"Did not currently use marijuana",71.2,61.38,79.35,237,"Total","White","11th","39.766910452000445"," -86.14996019399968","18","Indiana"
"36",16418,2005,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",24.9,18.69,32.45,"Did not currently use marijuana",75.1,67.55,81.31,140,"Female","White","11th","41.56266102000046"," -72.64984095199964","09","Connecticut"
"37",16593,2001,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",22.7,16.9,29.86,"Did not currently use marijuana",77.3,70.14,83.1,348,"Female","White","10th","44.6613195430005"," -84.71439026999968","26","Michigan"
"38",17090,2015,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",26.4,18.89,35.58,"Did not currently use marijuana",73.6,64.42,81.11,124,"Male","Total","11th","32.745510099000455"," -89.53803082499968","28","Mississippi"
"39",17200,2007,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",18.7,14.44,23.97,"Did not currently use marijuana",81.3,76.03,85.56,234,"Male","White","10th","39.766910452000445"," -86.14996019399968","18","Indiana"
"40",17460,2005,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",18.3,14.39,22.88,"Did not currently use marijuana",81.7,77.12,85.61,560,"Female","Total","11th","31.827240407000488"," -99.42677020599967","48","Texas"
"41",17603,2009,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",24.2,20.2,28.59,"Did not currently use marijuana",75.8,71.41,79.8,994,"Total","White","Total","40.13057004800049"," -74.27369128799967","34","New Jersey"
"42",17845,2009,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",13.1,8.76,19.12,"Did not currently use marijuana",86.9,80.88,91.24,156,"Total","White","9th","64.84507995700051"," -147.72205903599973","02","Alaska"
"43",17914,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",23,17.47,29.57,"Did not currently use marijuana",77,70.43,82.53,203,"Total","Black or African American","Total","42.27687047000046"," -72.08269067499964","25","Massachusetts"
"44",17944,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",25.4,17.58,35.21,"Did not currently use marijuana",74.6,64.79,82.42,104,"Total","American Indian or Alaska Native","12th","39.29058096400047"," -76.60926011099963","24","Maryland"
"45",18690,2007,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",21,15.85,27.3,"Did not currently use marijuana",79,72.7,84.15,214,"Total","White","12th","35.68094058000048"," -85.77449091399967","47","Tennessee"
"46",19091,2009,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",25.3,18.57,33.52,"Did not currently use marijuana",74.7,66.48,81.43,170,"Female","White","11th","38.635790776000476"," -92.56630005299968","29","Missouri"
"47",19161,2015,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",16.6,12.83,21.29,"Did not currently use marijuana",83.4,78.71,87.17,853,"Male","Total","Total","43.682630005000476"," -114.3637300419997","16","Idaho"
"48",19312,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",14.6,11.06,19.03,"Did not currently use marijuana",85.4,80.97,88.94,442,"Female","Total","9th","31.827240407000488"," -99.42677020599967","48","Texas"
"49",19846,2005,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",28.8,24.9,33.05,"Did not currently use marijuana",71.2,66.95,75.1,614,"Male","Total","Total","43.65595011300047"," -71.50036091999965","33","New Hampshire"
"50",20193,2003,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",29.8,24.42,35.71,"Did not currently use marijuana",70.2,64.29,75.58,231,"Male","White","11th","28.932040377000476"," -81.92896053899966","12","Florida"
"51",21484,1997,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",25,21.8,28.49,"Did not currently use marijuana",75,71.51,78.2,609,"Total","White","10th","31.31266064400046"," -92.44568007099969","22","Louisiana"
"52",22074,2005,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",22,18.44,26.08,"Did not currently use marijuana",78,73.92,81.56,704,"Total","Total","11th","47.06652897200047"," -109.42442064499971","30","Montana"
"53",22289,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",18.7,15.42,22.49,"Did not currently use marijuana",81.3,77.51,84.58,806,"Total","White","11th","37.54268067400045"," -78.45789046299967","51","Virginia"
"54",22315,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",15.6,7.38,29.96,"Did not currently use marijuana",84.4,70.04,92.62,175,"Total","Multiple Race","9th","21.304850435000446"," -157.85774940299973","15","Hawaii"
"55",22489,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",26.9,19.44,35.89,"Did not currently use marijuana",73.1,64.11,80.56,221,"Female","Native Hawaiian or Other Pacific Islander","9th","21.304850435000446"," -157.85774940299973","15","Hawaii"
"56",22547,2009,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",12.6,8.21,18.87,"Did not currently use marijuana",87.4,81.13,91.79,258,"Female","Total","12th","43.682630005000476"," -114.3637300419997","16","Idaho"
"57",23153,2015,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",24.6,18.87,31.35,"Did not currently use marijuana",75.4,68.65,81.13,688,"Male","Total","11th","21.304850435000446"," -157.85774940299973","15","Hawaii"
"58",23464,2007,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",14.4,10.73,19.01,"Did not currently use marijuana",85.6,80.99,89.27,336,"Female","White","Total","39.29058096400047"," -76.60926011099963","24","Maryland"
"59",23993,1999,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",18.2,12.08,26.55,"Did not currently use marijuana",81.8,73.45,87.92,128,"Total","White","10th","32.745510099000455"," -89.53803082499968","28","Mississippi"
"60",24012,2007,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",5.9,3.77,9.01,"Did not currently use marijuana",94.1,90.99,96.23,438,"Total","White","9th","39.360700171000474"," -111.58713063499971","49","Utah"
"61",24050,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",19.4,13.1,27.73,"Did not currently use marijuana",80.6,72.27,86.9,179,"Female","White","11th","31.827240407000488"," -99.42677020599967","48","Texas"
"62",24129,2009,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",19.8,15.69,24.74,"Did not currently use marijuana",80.2,75.26,84.31,1173,"Total","White","Total","40.48501028300046"," -88.99771017799969","17","Illinois"
"63",24307,2005,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",29.5,24.97,34.49,"Did not currently use marijuana",70.5,65.51,75.03,1132,"Male","Hispanic or Latino","Total","34.52088095200048"," -106.24058098499967","35","New Mexico"
"64",25536,2007,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",18.2,13.21,24.52,"Did not currently use marijuana",81.8,75.48,86.79,170,"Male","Black or African American","Total","31.827240407000488"," -99.42677020599967","48","Texas"
"65",25594,2007,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",9.2,4.47,17.83,"Did not currently use marijuana",90.8,82.17,95.53,165,"Male","Total","9th","31.31266064400046"," -92.44568007099969","22","Louisiana"
"66",25800,2005,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",18.4,11.74,27.75,"Did not currently use marijuana",81.6,72.25,88.26,250,"Total","Black or African American","9th","35.466220975000454"," -79.15925046299964","37","North Carolina"
"67",27749,2007,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",17.8,13.68,22.95,"Did not currently use marijuana",82.2,77.05,86.32,516,"Female","Total","10th","31.827240407000488"," -99.42677020599967","48","Texas"
"68",27867,2003,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",16.8,12.09,22.75,"Did not currently use marijuana",83.2,77.25,87.91,354,"Total","White","10th","38.635790776000476"," -92.56630005299968","29","Missouri"
"69",27930,1999,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",16,10.24,24.2,"Did not currently use marijuana",84,75.8,89.76,330,"Total","Total","9th","47.47531977900047"," -100.11842104899966","38","North Dakota"
"70",28480,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",10.6,7.9,14.05,"Did not currently use marijuana",89.4,85.95,92.1,347,"Total","White","9th","47.47531977900047"," -100.11842104899966","38","North Dakota"
"71",28894,1997,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",35.3,29.46,41.7,"Did not currently use marijuana",64.7,58.3,70.54,262,"Male","White","10th","42.82700103200045"," -75.54397042699964","36","New York"
"72",30077,2003,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",26.2,23.44,29.21,"Did not currently use marijuana",73.8,70.79,76.56,1468,"Total","White","10th","43.62538123900049"," -72.51764079099962","50","Vermont"
"73",30779,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",31.3,21.68,42.89,"Did not currently use marijuana",68.7,57.11,78.32,455,"Female","Hispanic or Latino","12th","42.82700103200045"," -75.54397042699964","36","New York"
"74",31808,2003,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",24.6,16.37,35.33,"Did not currently use marijuana",75.4,64.67,83.63,332,"Male","Total","9th","35.68094058000048"," -85.77449091399967","47","Tennessee"
"75",32076,2003,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",15.4,11.37,20.58,"Did not currently use marijuana",84.6,79.42,88.63,998,"Female","Black or African American","Total","42.82700103200045"," -75.54397042699964","36","New York"
"76",32561,2009,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",10.6,5.25,20.08,"Did not currently use marijuana",89.4,79.92,94.75,352,"Total","Asian","Total","43.62538123900049"," -72.51764079099962","50","Vermont"
"77",32714,2005,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",25.3,19.75,31.89,"Did not currently use marijuana",74.7,68.11,80.25,554,"Total","White","11th","35.466220975000454"," -79.15925046299964","37","North Carolina"
"78",32926,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",12.4,10.39,14.71,"Did not currently use marijuana",87.6,85.29,89.61,1001,"Female","Total","Total","38.34774030000045"," -98.20078122699965","20","Kansas"
"79",33034,1999,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",17.5,12.14,24.46,"Did not currently use marijuana",82.5,75.54,87.86,165,"Female","White","9th","32.84057112200048"," -86.63186076199969","01","Alabama"
"80",33168,2009,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",22.2,18.21,26.8,"Did not currently use marijuana",77.8,73.2,81.79,1167,"Male","Total","Total","44.39319117400049"," -89.81637074199966","55","Wisconsin"
"81",33516,2011,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",20.6,18.69,22.63,"Did not currently use marijuana",79.4,77.37,81.31,2597,"Total","Total","Total","35.68094058000048"," -85.77449091399967","47","Tennessee"
"82",34252,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",16.5,11.42,23.18,"Did not currently use marijuana",83.5,76.82,88.58,305,"Total","White","11th","37.645970271000465"," -84.77497104799966","21","Kentucky"
"83",34569,1997,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",24,18.94,29.87,"Did not currently use marijuana",76,70.13,81.06,198,"Female","Total","12th","47.06652897200047"," -109.42442064499971","30","Montana"
"84",34690,2015,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",18.2,17.44,18.89,"Did not currently use marijuana",81.8,81.11,82.56,26994,"Female","Total","Total","39.29058096400047"," -76.60926011099963","24","Maryland"
"85",34696,1991,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",12,5.99,22.73,"Did not currently use marijuana",88,77.27,94.01,199,"Female","White","11th","32.83968109300048"," -83.62758034599966","13","Georgia"
"86",34895,2009,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",17.5,13.81,21.81,"Did not currently use marijuana",82.5,78.19,86.19,471,"Female","Total","10th","44.6613195430005"," -84.71439026999968","26","Michigan"
"87",34959,2007,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",20.2,15.9,25.21,"Did not currently use marijuana",79.8,74.79,84.1,368,"Male","White","Total","64.84507995700051"," -147.72205903599973","02","Alaska"
"88",35106,2001,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",29.9,23.43,37.18,"Did not currently use marijuana",70.1,62.82,76.57,326,"Male","Total","12th","44.6613195430005"," -84.71439026999968","26","Michigan"
"89",35436,2009,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",27.7,21.32,35.22,"Did not currently use marijuana",72.3,64.78,78.68,192,"Male","White","12th","31.827240407000488"," -99.42677020599967","48","Texas"
"90",35460,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",12.6,8.56,18.09,"Did not currently use marijuana",87.4,81.91,91.44,180,"Female","White","10th","35.68094058000048"," -85.77449091399967","47","Tennessee"
"91",35874,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",35.6,26.66,45.73,"Did not currently use marijuana",64.4,54.27,73.34,151,"Male","White","12th","34.52088095200048"," -106.24058098499967","35","New Mexico"
"92",36337,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",27,16.38,41.03,"Did not currently use marijuana",73,58.97,83.62,131,"Male","Hispanic or Latino","12th","31.827240407000488"," -99.42677020599967","48","Texas"
"93",36517,2005,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",22.5,17.06,29.1,"Did not currently use marijuana",77.5,70.9,82.94,774,"Male","Total","Total","38.843840757000464"," -106.13361092099967","08","Colorado"
"94",36618,2009,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",22.1,18.24,26.52,"Did not currently use marijuana",77.9,73.48,81.76,1434,"Total","Total","Total","21.304850435000446"," -157.85774940299973","15","Hawaii"
"95",37511,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",28.2,25.77,30.7,"Did not currently use marijuana",71.8,69.3,74.23,995,"Total","Hispanic or Latino","Total","40.48501028300046"," -88.99771017799969","17","Illinois"
"96",37921,2009,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",15.3,11.89,19.51,"Did not currently use marijuana",84.7,80.49,88.11,218,"Female","Total","12th","32.745510099000455"," -89.53803082499968","28","Mississippi"
"97",37990,2015,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",22.1,16.18,29.34,"Did not currently use marijuana",77.9,70.66,83.82,236,"Male","White","12th","35.466220975000454"," -79.15925046299964","37","North Carolina"
"98",38467,2007,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",12.5,9.95,15.58,"Did not currently use marijuana",87.5,84.42,90.05,659,"Male","Total","Total","42.46940091300047"," -93.81649055599968","19","Iowa"
