"YEAR","Topic","Subtopic","ShortQuestionText","Greater_Risk_Question","Description","Greater_Risk_Data_Value","Greater_Risk_Low_Confidence_Limit","Greater_Risk_High_Confidence_Limit","Lesser_Risk_Question","Lesser_Risk_Data_Value","Lesser_Risk_Low_Confidence_Limit","Lesser_Risk_High_Confidence_Limit","Sample_Size","Sex","Race","Grade","GeoLocation","TopicId","SubTopicID","QuestionCode","LocationId","StratificationType","State"
2011,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Forced sexual intercourse","Were ever physically forced to have sexual intercourse","when they did not want to",4.2,2.57,6.9,"Were never physically forced to have sexual intercourse",95.8,93.1,97.43,355,"Male","Total","12th","(41.70828019300046, -71.52247031399963)","UIV01","VIO01","H21","44","State","Rhode Island"
2005,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Attempted suicide","Attempted suicide","one or more times during the 12 months before the survey",6.7,5.24,8.51,"Did not attempt suicide",93.3,91.49,94.76,663,"Male","Total","Total","(35.47203135600046, -97.52107021399968)","UIV01","SRB01","H29","40","State","Oklahoma"
2013,"Sexual Behaviors","Sexual Behaviors","Birth control pill use","Did not use birth control pills","before last sexual intercourse to prevent pregnancy, among students who were currently sexually active",78.1,76.56,79.61,"Used birth control pills",21.9,20.39,23.44,6475,"Female","Total","Total","(39.29058096400047, -76.60926011099963)","SBH01","SXB01","H66","24","State","Maryland"
2015,"Alcohol and Other Drug Use","Other Drug Use","Ever heroin use","Ever used heroin","also called ""smack,"" ""junk,"" or ""China white,"" one or more times during their life",0.9,0.29,2.71,"Never used heroin",99.1,97.29,99.71,451,"Female","White","11th","(47.06652897200047, -109.42442064499971)","AOD01","ODU01","H52","30","State","Montana"
2011,"Dietary Behaviors","Vegetables","No vegetable eating","Did not eat vegetables","green salad, potatoes (excluding French fries, fried potatoes, or potato chips), carrots, or other vegetables, during the 7 days before the survey",2.2,0.58,8.15,"Ate vegetables",97.8,91.85,99.42,250,"Female","Total","12th","(38.66551020200046, -80.71264013499967)","DBH01","VEG01","QNVEG0","54","State","West Virginia"
2011,"Alcohol and Other Drug Use","Alcohol Use","5 or more drinks in a row","Drank five or more drinks of alcohol in a row","within a couple of hours on at least 1 day during the 30 days before the survey",18.5,12.19,27.17,"Did not drink five or more drinks of alcohol in a row",81.5,72.83,87.81,161,"Female","White","10th","(38.34774030000045, -98.20078122699965)","AOD01","ALC01","H44","20","State","Kansas"
2011,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Gun carrying","Carried a gun","on at least 1 day during the 30 days before the survey",8.4,5.76,12.02,"Did not carry a gun",91.6,87.98,94.24,891,"Total","Total","9th","(41.6410409880005, -99.36572062299967)","UIV01","VIO01","H14","31","State","Nebraska"
2009,"Tobacco Use","Other Tobacco Use","Current smokeless tobacco use","Currently used smokeless tobacco","chewing tobacco, snuff, or dip on at least 1 day during the 30 days before the survey",6.7,4.3,10.34,"Did not currently use smokeless tobacco",93.3,89.66,95.7,342,"Male","Hispanic or Latino","Total","(39.493240390000494, -117.07184056399967)","TUS01","OTU01","H37","32","State","Nevada"
2015,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Injurious physical fighting","Were injured in a physical fight","one or more times during the 12 months before the survey and injuries had to be treated by a doctor or nurse",2.9,2.08,4.04,"Were not injured in a physical fight",97.1,95.96,97.92,1500,"Total","Total","9th","(44.6613195430005, -84.71439026999968)","UIV01","VIO01","H19","26","State","Michigan"
1995,"Obesity, Overweight, and Weight Control","Weight Control","Perception of weight","Described themselves as slightly or very overweight",,24,18.94,29.82,"N/A",76,70.18,81.06,187,"Male","Total","10th","(47.47531977900047, -100.11842104899966)","OOW01","WTC01","H69","38","State","North Dakota"
2013,"Tobacco Use","Other Tobacco Use","Current cigar use","Currently smoked cigars","cigars, cigarillos, or little cigars on at least 1 day during the 30 days before the survey",10.1,8.15,12.44,"Did not currently smoke cigars",89.9,87.56,91.85,1325,"Total","White","Total","(38.34774030000045, -98.20078122699965)","TUS01","OTU01","H38","20","State","Kansas"
2013,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Riding with a drinking driver","Rode with a driver who had been drinking alcohol","in a car or other vehicle one or more times during the 30 days before the survey",23,20.7,25.49,"Did not ride with a driver who had been drinking alcohol",77,74.51,79.3,1209,"Male","Total","Total","(41.56266102000046, -72.64984095199964)","UIV01","UIN01","H10","09","State","Connecticut"
2007,"Obesity, Overweight, and Weight Control","Weight Control","Weight loss","Were not trying to lose weight",,62.3,53.9,70.01,"Were trying to lose weight",37.7,29.99,46.1,1492,"Total","White","Total","(39.360700171000474, -111.58713063499971)","OOW01","WTC01","H70","49","State","Utah"
2003,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",20.7,16.76,25.23,"Did not currently use marijuana",79.3,74.77,83.24,1280,"Female","Total","Total","(35.466220975000454, -79.15925046299964)","AOD01","ODU01","H49","37","State","North Carolina"
2003,"Tobacco Use","Other Tobacco Use","Current smokeless tobacco use","Currently used smokeless tobacco","chewing tobacco, snuff, or dip on at least 1 day during the 30 days before the survey",5.4,3.51,8.36,"Did not currently use smokeless tobacco",94.6,91.64,96.49,420,"Male","Total","9th","(39.008830667000495, -75.57774116799965)","TUS01","OTU01","H37","10","State","Delaware"
2003,"Tobacco Use","Other Tobacco Use","Current cigar use","Currently smoked cigars","cigars, cigarillos, or little cigars on at least 1 day during the 30 days before the survey",2.4,1.1,5.11,"Did not currently smoke cigars",97.6,94.89,98.9,229,"Female","Total","9th","(64.84507995700051, -147.72205903599973)","TUS01","OTU01","H38","02","State","Alaska"
1999,"Dietary Behaviors","Fruit and fruit juices","Fruit consumption >= 3 times","N/A","during the 7 days before the survey",81.4,75.86,85.85,"Ate fruit or drank 100% fruit juices three or more times per day",18.6,14.15,24.14,184,"Male","White","11th","(32.84057112200048, -86.63186076199969)","DBH01","FFJ01","QNFR3","01","State","Alabama"
2005,"Alcohol and Other Drug Use","Other Drug Use","Illegal injected drug use","Ever injected any illegal drug","used a needle to inject any illegal drug into their body one or more times during their life",2.7,1.5,4.82,"Never injected any illegal drug",97.3,95.18,98.5,498,"Total","Total","12th","(43.23554134300048, -108.10983035299967)","AOD01","ODU01","H58","56","State","Wyoming"
2011,"Dietary Behaviors","Fruit and fruit juices","Fruit consumption >= 2 times","N/A","during the 7 days before the survey",73.7,65.74,80.41,"Ate fruit or drank 100% fruit juices two or more times per day",26.3,19.59,34.26,306,"Female","Total","9th","(38.66551020200046, -80.71264013499967)","DBH01","FFJ01","QNFR2","54","State","West Virginia"
2003,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Suicide consideration","Seriously considered attempting suicide","during the 12 months before the survey",10.3,5.3,19.04,"Did not seriously consider attempting suicide",89.7,80.96,94.7,121,"Male","Total","12th","(32.84057112200048, -86.63186076199969)","UIV01","SRB01","H27","01","State","Alabama"
2009,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Weapon carrying","Carried a weapon","such as, a gun, knife, or club, on at least 1 day during the 30 days before the survey",20.1,13.75,28.36,"Did not carry a weapon",79.9,71.64,86.25,365,"Male","White","12th","(42.82700103200045, -75.54397042699964)","UIV01","VIO01","H13","36","State","New York"
2013,"Dietary Behaviors","Fruit and fruit juices","No fruit consumption","Did not eat fruit or drink 100% fruit juices","during the 7 days before the survey",7.3,4.83,10.8,"Ate fruit or drank 100% fruit juices",92.7,89.2,95.17,285,"Total","White","12th","(40.48501028300046, -88.99771017799969)","DBH01","FFJ01","QNFR0","17","State","Illinois"
2003,"Dietary Behaviors","Vegetables","Vegetable eating >=2 times","N/A","green salad, potatoes (excluding French fries, fried potatoes, or potato chips), carrots, or other vegetables, during the 7 days before the survey",75.2,72.21,78.01,"Ate vegetables two or more times per day",24.8,21.99,27.79,1130,"Male","White","Total","(44.6613195430005, -84.71439026999968)","DBH01","VEG01","QNVEG2","26","State","Michigan"
2009,"Obesity, Overweight, and Weight Control","Weight Control","Weight loss","Were not trying to lose weight",,44.8,35.34,54.7,"Were trying to lose weight",55.2,45.3,64.66,125,"Female","American Indian or Alaska Native","Total","(64.84507995700051, -147.72205903599973)","OOW01","WTC01","H70","02","State","Alaska"
2011,"Sexual Behaviors","Sexual Behaviors","Current sexual activity","Were currently sexually active","had sexual intercourse with at least one person during the 3 months before the survey",17.2,12.81,22.6,"Were not currently sexually active",82.8,77.4,87.19,262,"Male","White","10th","(44.39319117400049, -89.81637074199966)","SBH01","SXB01","H63","55","State","Wisconsin"
2001,"Tobacco Use","Cigarette Use","Frequent cigarette use","Currently smoked cigarettes frequently","on 20 or more days during the 30 days before the survey",19.7,12.12,30.38,"Did not currently smoke cigarettes frequently",80.3,69.62,87.88,163,"Female","White","10th","(45.254228894000505, -68.98503133599962)","TUS01","CIG01","QNFRCIG","23","State","Maine"
2009,"Tobacco Use","Other Tobacco Use","Current smokeless tobacco use","Currently used smokeless tobacco","chewing tobacco, snuff, or dip on at least 1 day during the 30 days before the survey",15,11.31,19.54,"Did not currently use smokeless tobacco",85,80.46,88.69,319,"Total","White","10th","(34.74865012400045, -92.27449074299966)","TUS01","OTU01","H37","05","State","Arkansas"
2001,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Riding with a drinking driver","Rode with a driver who had been drinking alcohol","in a car or other vehicle one or more times during the 30 days before the survey",33.3,28.69,38.33,"Did not ride with a driver who had been drinking alcohol",66.7,61.67,71.31,526,"Male","Total","9th","(43.23554134300048, -108.10983035299967)","UIV01","UIN01","H10","56","State","Wyoming"
2009,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Attempted suicide","Attempted suicide","one or more times during the 12 months before the survey",11.2,6.24,19.19,"Did not attempt suicide",88.8,80.81,93.76,111,"Female","White","11th","(39.766910452000445, -86.14996019399968)","UIV01","SRB01","H29","18","State","Indiana"
2007,"Dietary Behaviors","Vegetables","Vegetable eating >=2 times","N/A","green salad, potatoes (excluding French fries, fried potatoes, or potato chips), carrots, or other vegetables, during the 7 days before the survey",72.6,65.76,78.53,"Ate vegetables two or more times per day",27.4,21.47,34.24,387,"Total","Total","10th","(38.66551020200046, -80.71264013499967)","DBH01","VEG01","QNVEG2","54","State","West Virginia"
2011,"Dietary Behaviors","Soda or pop","No soda drinking","Drank a can, bottle, or glass of soda or pop","not counting diet soda or diet pop, during the 7 days before the survey",78.1,73.12,82.41,"Did not drink a can, bottle, or glass of soda or pop",21.9,17.59,26.88,362,"Total","White","10th","(37.645970271000465, -84.77497104799966)","DBH01","POP01","H77","21","State","Kentucky"
2015,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Bullying at school","Were bullied on school property","during the 12 months before the survey",18.5,12.31,26.76,"Were not bullied on school property",81.5,73.24,87.69,165,"Total","White","12th","(40.48501028300046, -88.99771017799969)","UIV01","VIO01","H24","17","State","Illinois"
2003,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Injurious physical fighting","Were injured in a physical fight","one or more times during the 12 months before the survey and injuries had to be treated by a doctor or nurse",2.7,1.04,6.63,"Were not injured in a physical fight",97.3,93.37,98.96,347,"Female","Total","11th","(41.6410409880005, -99.36572062299967)","UIV01","VIO01","H19","31","State","Nebraska"
2011,"Tobacco Use","Other Tobacco Use","Current smokeless tobacco use","Currently used smokeless tobacco","chewing tobacco, snuff, or dip on at least 1 day during the 30 days before the survey",0,0,0,"Did not currently use smokeless tobacco",100,100,100,115,"Female","Hispanic or Latino","12th","(40.48501028300046, -88.99771017799969)","TUS01","OTU01","H37","17","State","Illinois"
2011,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Sad or hopeless","Felt sad or hopeless","almost every day for 2 or more weeks in a row so that they stopped doing some usual activities during the 12 months before the survey",27.6,20.91,35.51,"Did not feel sad or hopeless",72.4,64.49,79.09,122,"Total","Black or African American","9th","(39.008830667000495, -75.57774116799965)","UIV01","SRB01","H26","10","State","Delaware"
2015,"Physical Activity","Physical Activity","Physical activity","Did not participate in at least 60 minutes of physical activity on at least 1 day","doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time during the 7 days before the survey",25,18.7,32.63,"Participated in at least 60 minutes of physical activity on at least 1 day",75,67.37,81.3,182,"Total","Black or African American","10th","(32.84057112200048, -86.63186076199969)","PHA01","PAC01","QNPA0DAY","01","State","Alabama"
1999,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Seat belt use","Never or rarely wore a seat belt","when riding in a car driven by someone else",18,12.86,24.69,"Sometimes, most of the time, or always wore a seat belt",82,75.31,87.14,871,"Female","Total","Total","(38.635790776000476, -92.56630005299968)","UIV01","UIN01","H9","29","State","Missouri"
2011,"Dietary Behaviors","Soda or pop","Soda drinking >= 1 times","Drank a can, bottle, or glass of soda or pop one or more times per day","not counting diet soda or diet pop, during the 7 days before the survey",36.7,28.52,45.65,"N/A",63.3,54.35,71.48,101,"Male","American Indian or Alaska Native","Total","(64.84507995700051, -147.72205903599973)","DBH01","POP01","QNSODA1","02","State","Alaska"
2007,"Physical Activity","Physical Activity","PE attendance","Did not attend physical education classes on 1 or more days","in an average week when they were in school",46.1,39.03,53.37,"Attended physical education classes on 1 or more days",53.9,46.63,60.97,262,"Male","Total","10th","(32.83968109300048, -83.62758034599966)","PHA01","PAC01","H83","13","State","Georgia"
2009,"Alcohol and Other Drug Use","Other Drug Use","Ever inhalant use","Ever used inhalants","sniffed glue, breathed the contents of aerosol spray cans, or inhaled any paints or sprays to get high, one or more times during their life",13.8,11.22,16.89,"Never used inhalants",86.2,83.11,88.78,1579,"Total","Total","10th","(35.466220975000454, -79.15925046299964)","AOD01","ODU01","H51","37","State","North Carolina"
2015,"Alcohol and Other Drug Use","Other Drug Use","Ever ecstasy use","Ever used ecstasy","also called ""MDMA,"" one or more times during their life",5.7,3.54,9.1,"Never used ecstasy",94.3,90.9,96.46,355,"Total","Total","10th","(39.493240390000494, -117.07184056399967)","AOD01","ODU01","H54","32","State","Nevada"
2009,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Weapon carrying","Carried a weapon","such as, a gun, knife, or club, on at least 1 day during the 30 days before the survey",8.4,5.39,12.94,"Did not carry a weapon",91.6,87.06,94.61,380,"Female","Black or African American","Total","(32.83968109300048, -83.62758034599966)","UIV01","VIO01","H13","13","State","Georgia"
2009,"Alcohol and Other Drug Use","Other Drug Use","Ever inhalant use","Ever used inhalants","sniffed glue, breathed the contents of aerosol spray cans, or inhaled any paints or sprays to get high, one or more times during their life",13.8,8.4,21.75,"Never used inhalants",86.2,78.25,91.6,219,"Female","Total","9th","(40.13057004800049, -74.27369128799967)","AOD01","ODU01","H51","34","State","New Jersey"
2007,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Bicycle helmet use","Never or rarely wore a bicycle helmet","among students who had ridden a bicycle during the 12 months before the survey",85.9,77.96,91.25,"Sometimes, most of the time, or always wore a bicycle helmet",14.1,8.75,22.04,698,"Female","Total","Total","(34.52088095200048, -106.24058098499967)","UIV01","UIN01","H8","35","State","New Mexico"
2003,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Gun carrying","Carried a gun","on at least 1 day during the 30 days before the survey",1.7,0.93,2.95,"Did not carry a gun",98.3,97.05,99.07,896,"Female","Total","Total","(41.70828019300046, -71.52247031399963)","UIV01","VIO01","H14","44","State","Rhode Island"
1999,"Obesity, Overweight, and Weight Control","Weight Control","Perception of weight","Described themselves as slightly or very overweight",,24.7,20.4,29.67,"N/A",75.3,70.33,79.6,414,"Male","Total","11th","(42.82700103200045, -75.54397042699964)","OOW01","WTC01","H69","36","State","New York"
2015,"Sexual Behaviors","Sexual Behaviors","Current sexual activity","Were currently sexually active","had sexual intercourse with at least one person during the 3 months before the survey",11.4,7.16,17.68,"Were not currently sexually active",88.6,82.32,92.84,191,"Female","Asian","Total","(43.65595011300047, -71.50036091999965)","SBH01","SXB01","H63","33","State","New Hampshire"
2003,"Alcohol and Other Drug Use","Alcohol Use","Ever alcohol use","Ever drank alcohol","at least one drink of alcohol on at least 1 day during their life",89.7,84.95,93.04,"Never drank alcohol",10.3,6.96,15.05,162,"Female","White","12th","(28.932040377000476, -81.92896053899966)","AOD01","ALC01","H41","12","State","Florida"
2007,"Tobacco Use","Cigarette Use","Current cigarette use","Currently smoked cigarettes","on at least 1 day during the 30 days before the survey",25.8,23.87,27.72,"Did not currently smoke cigarettes",74.2,72.28,76.13,1810,"Female","Total","Total","(37.645970271000465, -84.77497104799966)","TUS01","CIG01","H33","21","State","Kentucky"
2015,"Dietary Behaviors","Milk","Milk drinking >= 2 glasses","N/A","during the 7 days before the survey",92.1,86.31,95.54,"Drank two or more glasses per day of milk",7.9,4.46,13.69,180,"Total","Black or African American","10th","(32.84057112200048, -86.63186076199969)","DBH01","MLK01","QNMILK2","01","State","Alabama"
2011,"Obesity, Overweight, and Weight Control","Weight Control","Perception of weight","Described themselves as slightly or very overweight",,35.3,29.97,41.09,"N/A",64.7,58.91,70.03,330,"Male","Hispanic or Latino","9th","(31.827240407000488, -99.42677020599967)","OOW01","WTC01","H69","48","State","Texas"
2007,"Dietary Behaviors","Vegetables","Vegetable eating >=2 times","N/A","green salad, potatoes (excluding French fries, fried potatoes, or potato chips), carrots, or other vegetables, during the 7 days before the survey",77.7,70.21,83.79,"Ate vegetables two or more times per day",22.3,16.21,29.79,260,"Total","White","12th","(31.827240407000488, -99.42677020599967)","DBH01","VEG01","QNVEG2","48","State","Texas"
2005,"Dietary Behaviors","Milk","Milk drinking >= 3 glasses","N/A","during the 7 days before the survey",97.5,92.19,99.21,"Drank three or more glasses per day of milk",2.5,0.79,7.81,115,"Female","Total","12th","(35.68094058000048, -85.77449091399967)","DBH01","MLK01","QNMILK3","47","State","Tennessee"
2007,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Injurious physical fighting","Were injured in a physical fight","one or more times during the 12 months before the survey and injuries had to be treated by a doctor or nurse",9.6,3.95,21.69,"Were not injured in a physical fight",90.4,78.31,96.05,189,"Female","Black or African American","Total","(38.635790776000476, -92.56630005299968)","UIV01","VIO01","H19","29","State","Missouri"
2007,"Tobacco Use","Cigarette Use","Frequent cigarette use","Currently smoked cigarettes frequently","on 20 or more days during the 30 days before the survey",14.8,9.78,21.88,"Did not currently smoke cigarettes frequently",85.2,78.12,90.22,107,"Female","Total","12th","(33.998821303000454, -81.04537120699968)","TUS01","CIG01","QNFRCIG","45","State","South Carolina"
